OldPNNumber|PNNumber|LoanType|LoanProductType|EffectivityDate|Status|MaturityDate|ActualClosedDate|LoanAmount|PawnedItem|PawnedItemType|AppraisalRate|RedemptionDate|UpdatedDate|CustomerNumber
|11EE80ED804DCE1A9A0E88A4C2B30F0C|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||9600|"ONE PC(S) YG LINK NECKLACE W/ CROSS PENDANT"|Jewelry|9600||"12/11/2023 7:53:24 AM"|21718040
|11EE80ED8817B9A7A7F9DC1BA1AFE3FD|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||2100|"ONE PC(S) YG NECKLACE W/ PENDANT"|Jewelry|2100||"12/11/2023 7:53:38 AM"|
|11EE80EDD80015A8A855B42E994340DE|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||15200|"ONE PC(S) YG BRACELET"|Jewelry|15200||"12/11/2023 7:55:58 AM"|3022282
|11EE80EE6C3C1FA8A85F00090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3000|"ONE PC(S) YG NECKLACE W/ WITH PENDANT"|Jewelry|2600||"12/11/2023 8:00:01 AM"|11697835
|11EE80EE6EBFB74C8CF7002B6751EC48|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4050|"ONE PC(S) YG BAND RING"|Jewelry|5400||"12/11/2023 8:00:20 AM"|7300574
|11EE80EE80A60E9F9F4E00090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||6600|"ONE PC(S) YG LADIES' RING W/ DEFECT"|Jewelry|6600||"12/11/2023 8:01:24 AM"|17058857
|11EE80EE847FE939B929002B6751E273|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||4800|"ONE PC(S) YG CREOLE EARRINGS"|Jewelry|4800||"12/11/2023 8:01:12 AM"|12799923
|11EE80EE856008B1B14800090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||12900|"ONE PC(S) YG LINK NECKLACE"|Jewelry|12900||"12/11/2023 8:00:42 AM"|14340373
|11EE80EE9546642DADA400090FAA0001|Personal Loan|1|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3400|"ONE PC(S) YG MEN'S RING"|Jewelry|4200||"12/11/2023 8:01:09 AM"|7176053
|11EE80EE9E643E17977E00090FAA0001|Personal Loan|5|"12/11/2023 12:00:00 AM"|1|"12/12/2023 12:00:00 AM"||3600|"ONE PC(S) YG CRUCIFIX PENDANT"|Jewelry|3600||"12/11/2023 8:01:40 AM"|14340373
