key,value
CustomerNumber,CUSTOMER_ID
CustomerFirstName,FIRSTNAME
CustomerMiddleName,MIDDLENAME
CustomerLastName,LASTNAME
CustomerType,CUSTOMER_TYPE
Gender,GENDER
CustomerBirthDate,DATEOFBIRTH
BirthPlace,BIRTHPLACE
MotherName,MOTHER_MAIDENNAME
CivilStatus,CIVILSTATUS
Nationality,NATIONALITY
IsMinor,IS_MINOR
IsPEP,IS_PEP
SourceOfFund,SOURCEOFFUND
MonthlyIncome,MONTHLYINCOME
Occupation,OCCUPATION
CreatedDate,LOAD_DT
IndustryType,INDUSTRYTYPE
Positions,POSITIONS
NameOfEmployer,NAMEOFEMPLOYER
RESPHONE,LANDLINE_NO
MOBPHONE,CONTACT_DETAILS
EMAIL,EMAIL
BranchCode,BRANCHCODE
CompanyAddress,COMPANYADDRESS
IssueDate,ISSUEDATE
ExpiryDate,EXPIRYDATE
CustomerAddress1,PPG_HOMEADD
CustomerAddress2,PPG_CITY_MUNICIPALITY
CustomerAddress3,PPG_PROVINCE
CustomerAddress4,PPG_COUNTRY
CardNo,SUKI_CARD_NUMBER
IssuingBranch,LOAD_DT_1
PRIMARYIDTYPE,PRIMARYIDTYPE
PRIMARYID,PRIMARYID
